Date,DBA,DX-Y.NYB,IAK,TRV,ZC=F,ZW=F,^TNX
2010-05-20,20.964588165283203,85.56999969482422,20.656686782836914,33.95964813232422,362.0,469.75,3.2639999389648438
2010-05-21,21.23176383972168,85.37000274658203,21.050575256347656,34.52775573730469,369.0,472.0,3.200000047683716
2010-05-24,21.16051483154297,86.20999908447266,20.68698501586914,34.008758544921875,371.0,467.5,3.2269999980926514
2010-05-25,21.071456909179688,86.77999877929688,20.81575584411621,34.134986877441406,364.25,460.5,3.1579999923706055
2010-05-26,21.13379669189453,87.12000274658203,20.777881622314453,33.665096282958984,371.5,461.75,3.2179999351501465
2010-05-27,21.365352630615234,86.18000030517578,21.808069229125977,34.87843322753906,373.25,467.75,3.3380000591278076
2010-05-28,21.000205993652344,86.4800033569336,21.45962142944336,34.696075439453125,359.0,457.75,3.3010001182556152
2010-06-01,20.955678939819336,86.63999938964844,20.936960220336914,34.08590316772461,354.0,450.75,3.2960000038146973
2010-06-02,20.9378662109375,86.79000091552734,21.527795791625977,34.91349411010742,348.5,442.5,3.3340001106262207
2010-06-03,20.9467716217041,87.13999938964844,21.611116409301758,34.87142562866211,349.5,441.75,3.378999948501587
2010-06-04,20.537099838256836,88.2300033569336,20.588510513305664,34.09292221069336,340.0,435.75,3.194999933242798
2010-06-07,20.367887496948242,88.4000015258789,20.285511016845703,33.85445785522461,335.75,432.25,3.184000015258789
2010-06-08,20.59053611755371,88.38999938964844,20.679397583007812,34.68828201293945,337.25,432.25,3.1679999828338623
2010-06-09,20.563817977905273,87.9000015258789,20.50517463684082,34.47629165649414,338.25,428.0,3.187000036239624
2010-06-10,20.75084114074707,87.16999816894531,21.247522354125977,35.32423400878906,343.25,433.25,3.319000005722046
2010-06-11,20.97348976135254,87.51000213623047,21.42174530029297,35.62102508544922,349.5,440.75,3.2160000801086426
2010-06-14,21.18723487854004,86.51000213623047,21.40659523010254,35.36663818359375,353.75,451.5,3.2750000953674316
2010-06-15,21.427692413330078,85.9800033569336,21.982288360595703,36.20045471191406,353.75,451.75,3.309999942779541
2010-06-16,21.454410552978516,86.08000183105469,21.79291534423828,35.91779708862305,356.25,461.25,3.2820000648498535
2010-06-17,21.374258041381836,85.69000244140625,21.823219299316406,36.53963851928711,357.5,462.75,3.190000057220459
2010-06-18,21.46331787109375,85.69999694824219,21.921693801879883,36.28523635864258,360.75,461.75,3.2230000495910645
2010-06-21,21.525659561157227,85.93000030517578,21.755033493041992,36.158058166503906,355.0,462.0,3.243000030517578
2010-06-22,21.50784683227539,86.11000061035156,21.527795791625977,36.04499053955078,351.5,460.75,3.1659998893737793
2010-06-23,21.445505142211914,85.73999786376953,21.444467544555664,36.11566925048828,346.5,462.25,3.115000009536743
2010-06-24,21.641435623168945,85.7300033569336,21.148427963256836,35.712894439697266,344.75,463.0,3.122999906539917
2010-06-25,21.570188522338867,85.30999755859375,21.54315185546875,36.122718811035156,340.5,456.25,3.11299991607666
