Date,Marketing_Year,Quarter,Month,US_Production_M_Bu,US_Imports_M_Bu,US_Food_Use_M_Bu,US_Seed_Use_M_Bu,US_Feed_Residual_Use_M_Bu,US_Total_Domestic_Use_M_Bu,US_Exports_M_Bu,US_Total_Disappearance_M_Bu,US_Beginning_Stocks_M_Bu,US_Ending_Stocks_M_Bu,US_Total_Supply_M_Bu
2011-10-01,2011/12,2,Oct,0.0,10.756333333333332,81.33333333333333,16.984666666666666,-5.481000000000001,92.837,79.303,172.14,2146.669,1662.518,2178.938
2011-11-01,2011/12,2,Nov,0.0,10.756333333333332,81.33333333333333,16.984666666666666,-5.481000000000001,92.837,79.303,172.14,2146.669,1662.518,2178.938
2011-12-01,2011/12,3,Dec,0.0,10.118333333333334,76.973,0.4683333333333333,14.629666666666667,92.07100000000001,72.43833333333333,164.50933333333333,1662.518,1199.345,1692.873
2012-01-01,2011/12,3,Jan,0.0,10.118333333333334,76.973,0.4683333333333333,14.629666666666667,92.07100000000001,72.43833333333333,164.50933333333333,1662.518,1199.345,1692.873
2012-02-01,2011/12,3,Feb,0.0,10.118333333333334,76.973,0.4683333333333333,14.629666666666667,92.07100000000001,72.43833333333333,164.50933333333333,1662.518,1199.345,1692.873
2012-03-01,2011/12,4,Mar,0.0,9.890333333333333,78.82266666666666,6.182666666666666,-23.229333333333333,61.776,100.356,162.132,1199.345,742.62,1229.016
2012-04-01,2011/12,4,Apr,0.0,9.890333333333333,78.82266666666666,6.182666666666666,-23.229333333333333,61.776,100.356,162.132,1199.345,742.62,1229.016
2012-05-01,2011/12,4,May,0.0,9.890333333333333,78.82266666666666,6.182666666666666,-23.229333333333333,61.776,100.356,162.132,1199.345,742.62,1229.016
2012-06-01,2012/13,1,Jun,750.7689999999999,8.503666666666666,79.19933333333334,0.46399999999999997,134.22400000000002,213.88733333333334,87.889,301.7763333333333,742.62,2115.109,3020.438
2012-07-01,2012/13,1,Jul,750.7689999999999,8.503666666666666,79.19933333333334,0.46399999999999997,134.22400000000002,213.88733333333334,87.889,301.7763333333333,742.62,2115.109,3020.438
2012-08-01,2012/13,1,Aug,750.7689999999999,8.503666666666666,79.19933333333334,0.46399999999999997,134.22400000000002,213.88733333333334,87.889,301.7763333333333,742.62,2115.109,3020.438
2012-09-01,2012/13,2,Sep,0.0,10.979,82.199,18.452666666666666,-7.46,93.19166666666666,65.964,159.15566666666666,2115.109,1670.579,2148.046
2012-10-01,2012/13,2,Oct,0.0,10.979,82.199,18.452666666666666,-7.46,93.19166666666666,65.964,159.15566666666666,2115.109,1670.579,2148.046
2012-11-01,2012/13,2,Nov,0.0,10.979,82.199,18.452666666666666,-7.46,93.19166666666666,65.964,159.15566666666666,2115.109,1670.579,2148.046
2012-12-01,2012/13,3,Dec,0.0,11.565,76.323,0.459,1.6483333333333334,78.43033333333334,78.38433333333333,156.81466666666668,1670.579,1234.83,1705.274
2013-01-01,2012/13,3,Jan,0.0,11.565,76.323,0.459,1.6483333333333334,78.43033333333334,78.38433333333333,156.81466666666668,1670.579,1234.83,1705.274
2013-02-01,2012/13,3,Feb,0.0,11.565,76.323,0.459,1.6483333333333334,78.43033333333334,78.38433333333333,156.81466666666668,1670.579,1234.83,1705.274
2013-03-01,2012/13,4,Mar,0.0,10.391333333333334,79.216,5.003333333333333,-6.6323333333333325,77.587,105.118,182.705,1234.83,717.889,1266.004
2013-04-01,2012/13,4,Apr,0.0,10.391333333333334,79.216,5.003333333333333,-6.6323333333333325,77.587,105.118,182.705,1234.83,717.889,1266.004
2013-05-01,2012/13,4,May,0.0,10.391333333333334,79.216,5.003333333333333,-6.6323333333333325,77.587,105.118,182.705,1234.83,717.889,1266.004
2013-06-01,2013/14,1,Jun,711.6596666666666,11.885,78.27433333333333,1.3719999999999999,140.80433333333335,220.45066666666665,119.178,339.6286666666667,717.889,1869.637,2888.523
2013-07-01,2013/14,1,Jul,711.6596666666666,11.885,78.27433333333333,1.3719999999999999,140.80433333333335,220.45066666666665,119.178,339.6286666666667,717.889,1869.637,2888.523
2013-08-01,2013/14,1,Aug,711.6596666666666,11.885,78.27433333333333,1.3719999999999999,140.80433333333335,220.45066666666665,119.178,339.6286666666667,717.889,1869.637,2888.523
2013-09-01,2013/14,2,Sep,0.0,16.008333333333333,83.10000000000001,17.553,-55.989000000000004,44.663999999999994,102.93966666666667,147.60366666666667,1869.637,1474.851,1917.662
2013-10-01,2013/14,2,Oct,0.0,16.008333333333333,83.10000000000001,17.553,-55.989000000000004,44.663999999999994,102.93966666666667,147.60366666666667,1869.637,1474.851,1917.662
2013-11-01,2013/14,2,Nov,0.0,16.008333333333333,83.10000000000001,17.553,-55.989000000000004,44.663999999999994,102.93966666666667,147.60366666666667,1869.637,1474.851,1917.662
2013-12-01,2013/14,3,Dec,0.0,14.013,77.02533333333334,0.648,-0.282,77.39133333333334,75.917,153.30833333333334,1474.851,1056.965,1516.89
2014-01-01,2013/14,3,Jan,0.0,14.013,77.02533333333334,0.648,-0.282,77.39133333333334,75.917,153.30833333333334,1474.851,1056.965,1516.89
2014-02-01,2013/14,3,Feb,0.0,14.013,77.02533333333334,0.648,-0.282,77.39133333333334,75.917,153.30833333333334,1474.851,1056.965,1516.89
2014-03-01,2013/14,4,Mar,0.0,15.582666666666666,79.968,4.9816666666666665,-7.846,77.10366666666667,94.03966666666668,171.14333333333332,1056.965,590.283,1103.713
2014-04-01,2013/14,4,Apr,0.0,15.582666666666666,79.968,4.9816666666666665,-7.846,77.10366666666667,94.03966666666668,171.14333333333332,1056.965,590.283,1103.713
2014-05-01,2013/14,4,May,0.0,15.582666666666666,79.968,4.9816666666666665,-7.846,77.10366666666667,94.03966666666668,171.14333333333332,1056.965,590.283,1103.713
2014-06-01,2014/15,1,Jun,675.4366666666666,14.722333333333333,79.63933333333334,2.1393333333333335,85.23133333333332,167.01,84.17,251.17999999999998,590.283,1907.22,2660.76
2014-07-01,2014/15,1,Jul,675.4366666666666,14.722333333333333,79.63933333333334,2.1393333333333335,85.23133333333332,167.01,84.17,251.17999999999998,590.283,1907.22,2660.76
2014-08-01,2014/15,1,Aug,675.4366666666666,14.722333333333333,79.63933333333334,2.1393333333333335,85.23133333333332,167.01,84.17,251.17999999999998,590.283,1907.22,2660.76
2014-09-01,2014/15,2,Sep,0.0,11.517000000000001,82.729,16.267333333333333,-30.861666666666665,68.13466666666666,69.24566666666666,137.38033333333334,1907.22,1529.63,1941.771
2014-10-01,2014/15,2,Oct,0.0,11.517000000000001,82.729,16.267333333333333,-30.861666666666665,68.13466666666666,69.24566666666666,137.38033333333334,1907.22,1529.63,1941.771
2014-11-01,2014/15,2,Nov,0.0,11.517000000000001,82.729,16.267333333333333,-30.861666666666665,68.13466666666666,69.24566666666666,137.38033333333334,1907.22,1529.63,1941.771
2014-12-01,2014/15,3,Dec,0.0,12.245333333333333,76.95,0.7016666666666667,2.6426666666666665,80.29433333333334,61.692,141.98633333333333,1529.63,1140.407,1566.366
2015-01-01,2014/15,3,Jan,0.0,12.245333333333333,76.95,0.7016666666666667,2.6426666666666665,80.29433333333334,61.692,141.98633333333333,1529.63,1140.407,1566.366
2015-02-01,2014/15,3,Feb,0.0,12.245333333333333,76.95,0.7016666666666667,2.6426666666666665,80.29433333333334,61.692,141.98633333333333,1529.63,1140.407,1566.366
2015-03-01,2014/15,4,Mar,0.0,11.930666666666667,80.11,7.3629999999999995,-19.209,68.264,73.00433333333334,141.26833333333335,1140.407,752.394,1176.199
2015-04-01,2014/15,4,Apr,0.0,11.930666666666667,80.11,7.3629999999999995,-19.209,68.264,73.00433333333334,141.26833333333335,1140.407,752.394,1176.199
2015-05-01,2014/15,4,May,0.0,11.930666666666667,80.11,7.3629999999999995,-19.209,68.264,73.00433333333334,141.26833333333335,1140.407,752.394,1176.199
2015-06-01,2015/16,1,Jun,687.313,8.844666666666667,80.08166666666666,0.31866666666666665,99.27533333333334,179.67566666666667,68.25033333333333,247.92600000000002,752.394,2097.089,2840.867
2015-07-01,2015/16,1,Jul,687.313,8.844666666666667,80.08166666666666,0.31866666666666665,99.27533333333334,179.67566666666667,68.25033333333333,247.92600000000002,752.394,2097.089,2840.867
2015-08-01,2015/16,1,Aug,687.313,8.844666666666667,80.08166666666666,0.31866666666666665,99.27533333333334,179.67566666666667,68.25033333333333,247.92600000000002,752.394,2097.089,2840.867
2015-09-01,2015/16,2,Sep,0.0,9.014666666666667,82.92266666666667,14.743333333333332,-35.733333333333334,61.93266666666667,64.14266666666667,126.07533333333333,2097.089,1745.907,2124.133
2015-10-01,2015/16,2,Oct,0.0,9.014666666666667,82.92266666666667,14.743333333333332,-35.733333333333334,61.93266666666667,64.14266666666667,126.07533333333333,2097.089,1745.907,2124.133
2015-11-01,2015/16,2,Nov,0.0,9.014666666666667,82.92266666666667,14.743333333333332,-35.733333333333334,61.93266666666667,64.14266666666667,126.07533333333333,2097.089,1745.907,2124.133
2015-12-01,2015/16,3,Dec,0.0,11.451666666666666,76.514,0.5636666666666666,0.738,77.81566666666667,58.38433333333333,136.20000000000002,1745.907,1371.662,1780.262
2016-01-01,2015/16,3,Jan,0.0,11.451666666666666,76.514,0.5636666666666666,0.738,77.81566666666667,58.38433333333333,136.20000000000002,1745.907,1371.662,1780.262
2016-02-01,2015/16,3,Feb,0.0,11.451666666666666,76.514,0.5636666666666666,0.738,77.81566666666667,58.38433333333333,136.20000000000002,1745.907,1371.662,1780.262
2016-03-01,2015/16,4,Mar,0.0,8.276666666666666,79.53466666666667,6.761333333333333,-14.486666666666666,71.80933333333333,68.48700000000001,140.29633333333334,1371.662,975.603,1396.492
2016-04-01,2015/16,4,Apr,0.0,8.276666666666666,79.53466666666667,6.761333333333333,-14.486666666666666,71.80933333333333,68.48700000000001,140.29633333333334,1371.662,975.603,1396.492
2016-05-01,2015/16,4,May,0.0,8.276666666666666,79.53466666666667,6.761333333333333,-14.486666666666666,71.80933333333333,68.48700000000001,140.29633333333334,1371.662,975.603,1396.492
2016-06-01,2016/17,1,Jun,769.5543333333334,10.88,79.20700000000001,0.21433333333333335,88.56333333333333,167.98466666666667,89.30733333333335,257.292,975.603,2545.03,3316.906
2016-07-01,2016/17,1,Jul,769.5543333333334,10.88,79.20700000000001,0.21433333333333335,88.56333333333333,167.98466666666667,89.30733333333335,257.292,975.603,2545.03,3316.906
2016-08-01,2016/17,1,Aug,769.5543333333334,10.88,79.20700000000001,0.21433333333333335,88.56333333333333,167.98466666666667,89.30733333333335,257.292,975.603,2545.03,3316.906
2016-09-01,2016/17,2,Sep,0.0,9.830333333333334,81.82833333333333,13.525333333333334,-10.079333333333333,85.27433333333333,79.77933333333333,165.05366666666666,2545.03,2079.36,2574.521
2016-10-01,2016/17,2,Oct,0.0,9.830333333333334,81.82833333333333,13.525333333333334,-10.079333333333333,85.27433333333333,79.77933333333333,165.05366666666666,2545.03,2079.36,2574.521
2016-11-01,2016/17,2,Nov,0.0,9.830333333333334,81.82833333333333,13.525333333333334,-10.079333333333333,85.27433333333333,79.77933333333333,165.05366666666666,2545.03,2079.36,2574.521
2016-12-01,2016/17,3,Dec,0.0,8.212,75.96166666666666,0.43966666666666665,-4.34,72.06133333333334,76.379,148.44033333333334,2079.36,1658.675,2103.996
2017-01-01,2016/17,3,Jan,0.0,8.212,75.96166666666666,0.43966666666666665,-4.34,72.06133333333334,76.379,148.44033333333334,2079.36,1658.675,2103.996
2017-02-01,2016/17,3,Feb,0.0,8.212,75.96166666666666,0.43966666666666665,-4.34,72.06133333333334,76.379,148.44033333333334,2079.36,1658.675,2103.996
2017-03-01,2016/17,4,Mar,0.0,10.417333333333334,79.28566666666667,6.248333333333334,-20.586333333333332,64.94766666666666,104.82733333333334,169.775,1658.675,1180.602,1689.927
2017-04-01,2016/17,4,Apr,0.0,10.417333333333334,79.28566666666667,6.248333333333334,-20.586333333333332,64.94766666666666,104.82733333333334,169.775,1658.675,1180.602,1689.927
2017-05-01,2016/17,4,May,0.0,10.417333333333334,79.28566666666667,6.248333333333334,-20.586333333333332,64.94766666666666,104.82733333333334,169.775,1658.675,1180.602,1689.927
2017-06-01,2017/18,1,Jun,580.3033333333334,14.013,79.58366666666667,0.29923333333333335,54.9201,134.803,97.45566666666667,232.25866666666664,1180.602,2266.775,2963.551
